,Nom,Mouvement,summary,sum_lem,mvm_label
0,William S. Burroughs,Beat Generation,"William Seward Burroughs (/ˈwɪljəm ˈsuɚd ˈbɜɹoʊz/), dit William S. Burroughs, né le 5 février 1914 à Saint-Louis au 4664 de Pershing Avenue, dans l'État du Missouri et mort le 2 août 1997 dans sa propriété de Lawrence (Kansas) de complications liées à une crise cardiaque,, est un romancier et artiste américain.
Principalement connu pour ses romans hallucinés mêlant drogue, homosexualité et anticipation, il est associé à la Beat Generation et à ses figures emblématiques : ses amis Jack Kerouac et Allen Ginsberg. Il a élaboré le cut-up, technique littéraire consistant à créer un texte à partir d'autres fragments textuels d'origines diverses.",William Seward Burroughs ˈsuɚd dit William Burroughs naître 5 février 1914 4664 Pershing Avenue état Missouri mort 2 août 1997 propriété Lawrence Kansas complication lier crise cardiaque romancier artiste américain principalement connaître roman halluciné mêler drogu homosexualité anticipation associer beat generation figure emblématique ami Jack Kerouac Allen Ginsberg il avoir élaborer cut up technique littéraire consister créer texte partir autre fragment textuel origine divers,0
1,Lucien Carr,Beat Generation,"Lucien Carr, né le 1er mars 1925 à New York et mort le 28 janvier 2005 à Washington, 4e du nom, membre de la Beat Generation, est un éditeur américain chez United Press International.",Lucien Carr naître premier mars 1925 New York mort 28 janvier 2005 Washington 4e nom membre Beat Generation éditeur américain chez United Press International,0
2,Carolyn Cassady,Beat Generation,"Carolyn Cassady, née Carolyn Robinson le 28 avril 1923 à Lansing dans le Michigan, et morte le 20 septembre 2013, est une romancière, épistolière américaine.",Carolyn Cassady naître Carolyn Robinson 28 avril 1923 Lansing Michigan mourir 20 septembre 2013 romancier épistolier américain,0
3,John Clellon Holmes,Beat Generation,"John Clellon Holmes est un romancier, essayiste et poète américain, né le 12 mars 1926 à Holyoke au Massachusetts et mort d'un cancer à l'âge de 62 ans le 30 mars 1988, à Middletown dans le Connecticut. Il fut également enseignant à l’université de l’Arkansas et anima à la fin de sa vie des conférences et ateliers à Yale et à l’université Brown.",John Clellon holme romancier essayiste poète américain naître 12 mars 1926 Holyoke Massachusetts mort cancer âge 62 an 30 mars 1988 Middletown Connecticut il également enseigner université Arkansas animer fin vie conférence atelier Yale université Brown,0
4,Gregory Corso,Beat Generation,"Gregory Nunzio Corso (New York, 26 mars 1930 - Minneapolis, 17 janvier 2001) est un poète américain. 
Il fut le quatrième membre majeur de la « Beat Generation », aux côtés de Jack Kerouac, Allen Ginsberg et William Burroughs.",gregory Nunzio Corso New York 26 mars 1930 Minneapolis 17 janvier 2001 poète américain il quatrième membre majeur Beat Generation côté Jack Kerouac Allen Ginsberg William Burroughs,0
5,Lenore Kandel,Beat Generation,"Lenore Kandel, née le 14 janvier 1932 à New York et morte le 18 octobre 2009 à San Francisco, est une poétesse américaine appartenant à la Beat Generation et au collectif des Diggers.",Lenore Kandel naître 14 janvier 1932 New York mourir 18 octobre 2009 San Francisco poétesse américain appartenir beat generation collectif digger,0
6,Jack Kerouac,Beat Generation,"Jean-Louis Kérouac ou Jean-Louis Lebris de Kérouac dit Jack Kerouac /ʒak ke.ʁwak (en anglais : /dʒæk ˈkɛɹuæk/), né le 12 mars 1922 à Lowell dans le Massachusetts et mort le 21 octobre 1969 à St. Petersburg en Floride, est un écrivain et poète américain.
Considéré comme l'un des auteurs américains les plus importants du XXe siècle, il est même pour la communauté beatnik le « King of the Beats ». Son style rythmé et immédiat, auquel il donne le nom de « prose spontanée », a inspiré de nombreux artistes et écrivains et en premier lieu les chanteurs américains Tom Waits et Bob Dylan. Les œuvres les plus connues de Kerouac, Sur la route (considéré comme le manifeste de la Beat Generation), Les Clochards célestes, Big Sur ou Le Vagabond solitaire, narrent de manière romancée ses voyages à travers les États-Unis. Le genre cinématographique du road movie est directement influencé par ses techniques et par son mode de narration.
Jack Kerouac a passé la majeure partie de sa vie partagé entre les grands espaces américains et l'appartement de sa mère. Ce paradoxe est à l'image de son mode de vie : confronté aux changements rapides de son époque, il a éprouvé de profondes difficultés à trouver sa place dans le monde, ce qui l'a amené à rejeter les valeurs traditionnelles des années 1945-1950, donnant ainsi naissance au mouvement beat. Ses écrits reflètent cette volonté de se libérer des conventions sociales étouffantes de son époque et de donner un sens à son existence. Un sens qu'il a cherché dans des drogues comme la marijuana et la benzédrine, dans l'alcool également, dans la religion et la spiritualité — notamment le bouddhisme — et dans une frénésie de voyages.
« Jazz poet », comme il se définit lui-même, Kerouac vante les bienfaits de l'amour, proclame l'inutilité du conflit armé, quel qu'il soit, et considère que « seuls les gens amers dénigrent la vie ». Jack Kerouac et ses écrits sont vus comme précurseurs du mode de vie de la jeunesse des années 1960, celle de la Beat Generation, « qui a ébranlé la société américaine dans ses certitudes. Elle a directement inspiré aussi bien les mouvements de mai 1968 que l’opposition à la guerre du Viêt Nam, ou les hippies de Berkeley et Woodstock. Pourtant la Beat Generation a aussi contribué à enrichir le mythe américain. Sur la route, le roman le plus connu de Kerouac, est une ode aux grands espaces, à l’épopée vers l’ouest, à la découverte de mondes nouveaux ».",Kérouac Lebris Kérouac dire Jack Kerouac anglais naître 12 mars 1922 Lowell Massachusetts mort 21 octobre 1969 Petersburg floride écrivain poète américain considérer comme auteur américain plus important xx siècle communauté beatnik King of the Beats son style rythmer immédiat auquel donne nom pros spontanée avoir inspirer nombreux artiste écrivain premier lieu chanteur américain Tom Waits Bob Dylan le œuvre plus connu Kerouac sur route considérer comme manifeste beat Generation le clochard céleste Big sur le Vagabond solitaire narrent manière romancer voyage travers le genre cinématographique road movi directement influencer technique mode narration Jack Kerouac avoir passer majeur partie vie partager entre grand espace américain appartement mère ce paradoxe image mode vie confronté changement rapide époque avoir éprouver profonde difficulté trouver place monde avoir amener rejeter valeur traditionnel année 1945 1950 donner ainsi naissance mouvement beat son écrit refléter ce volonté libérer convention social étouffant époque donner sens existence un sens avoir chercher drogue comme marijuana benzédrine alcool également religion spiritualité notamment bouddhisme frénésie voyage Jazz poet comme définir Kerouac ver bienfait amour proclame inutilité conflit armer quel considérer seul gens amer dénigrer vie Jack Kerouac écrit voir comme précurseur mode vie jeunesse année 1960 celui Beat Generation avoir ébranler société américain certitude lui avoir directement inspirer aussi bien mouvement mai 1968 opposition guerre Viêt Nam hippie Berkeley Woodstock pourtant beat generation avoir aussi contribuer enrichir mythe américain sur route roman plus connaître Kerouac ode grand espace épopée vers ouest découverte monde nouveau,0
7,Jan Kerouac,Beat Generation,"Janet Michelle Kerouac, plus connue en tant que Jan Kerouac, née le 16 février 1952 à Albany et morte le 5 juin 1996 à Albuquerque, est une écrivaine américaine.
Elle est la seule enfant de Jack Kerouac, figure de la Beat Generation.",Janet Michelle Kerouac plus connaître tant Jan Kerouac naître 16 février 1952 Albany mourir 5 juin 1996 Albuquerque écrivaine américaine lui seul enfant Jack Kerouac figure Beat Generation,0
8,Gerald Nicosia,Beat Generation,"Gerald Nicosia, né le 18 novembre 1949 à Berwyn dans l'Illinois, est un journaliste indépendant, interviewer et critique littéraire américain.",Gerald Nicosia naître 18 novembre 1949 Berwyn Illinois journaliste indépendant interviewer critique littéraire américain,0
9,Peter Orlovsky,Beat Generation,"Peter Orlovsky, né le 8 juillet 1933 à New York dans le Lower East Side, et mort le 30 mai 2010 à Williston dans le Vermont, est un poète américain, amant d'Allen Ginsberg et membre de la Beat Generation.

",peter Orlovsky naître 8 juillet 1933 New York Lower East Side mourir 30 mai 2010 Williston Vermont poète américain amer Allen Ginsberg membre Beat Generation,0
